STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-04-07,18.9,"H,,S",,,13.5,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-04-08,20.2,"H,,S",,,,
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-04-09,22.1,"H,,S",,,19.4,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-04-10,22.4,"H,,S",26.2,",,S",19.4,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-04-11,18.1,"H,,S",25.5,",,S",,
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-04-12,16.6,"H,,S",20,",,S",12.5,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-04-13,19.7,"H,,S",,,14.7,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-04-14,21.4,"H,,S",,,16.9,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-04-15,19.1,"H,,S",25.4,",,S",17,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-04-16,17.9,"H,,S",,,15,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-04-17,20.1,"H,,S",,,15.8,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-04-18,20.2,"H,,S",,,,
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-04-19,21.6,"H,,S",,,,
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-04-20,20.1,"H,,S",28,",,S",,
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-04-21,16.9,"H,,S",21.4,",,S",13.5,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-04-22,16.7,"H,,S",,,14.6,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-04-23,16.4,"H,,S",19.4,",,S",14.5,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-04-24,17.5,"H,,S",,,15,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-04-25,18.7,"H,,S",,,16.8,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-04-26,17.9,"H,,S",20.5,",,S",16.4,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-04-27,17.9,"H,,S",,,16,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-04-28,19.1,"H,,S",,,,
