STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-04-08,16.6,"H,,S",26.4,",,S",8.5,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-04-09,15.8,"H,,S",25.6,",,S",,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-04-10,18.4,"H,,S",,,13.8,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-04-11,17.9,"H,,S",24.2,",,S",,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-04-12,15.9,"H,,S",21.8,",,S",13.4,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-04-13,16.8,"H,,S",,,11.8,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-04-14,18.2,"H,,S",,,12,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-04-15,19.2,"H,,S",,,11.7,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-04-16,19.2,"H,,S",28,",,S",14.1,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-04-17,18.9,"H,,S",,,,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-04-18,19,"H,,S",,,14.7,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-04-19,20.5,"H,,S",,,15.5,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-04-20,21.2,"H,,S",28.3,",,S",15.7,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-04-21,20.2,"H,,S",26.6,",,S",16.5,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-04-22,17.4,"H,,S",24.5,",,S",15.5,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-04-23,14.4,"H,,S",20.1,",,S",,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-04-24,14.8,"H,,S",,,12.7,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-04-25,14.8,"H,,S",,,,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-04-26,15.2,"H,,S",18.5,",,S",12.9,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-04-27,15.6,"H,,S",,,9.9,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-04-28,14.6,"H,,S",,,,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-04-29,15.7,"H,,S",25.2,",,S",9.1,",,S"
