STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-04-03,25.8,"H,,S",,,21.9,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-04-04,24.8,"H,,S",31,",,S",22.5,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-04-05,19.7,"H,,S",28.1,",,S",16.9,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-04-06,18.9,"H,,S",,,14.1,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-04-07,19.4,"H,,S",,,11.8,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-04-08,19.8,"H,,S",,,12.5,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-04-09,22.4,"H,,S",,,15.8,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-04-10,23.6,"H,,S",,,16,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-04-11,23.8,"H,,S",31,",,S",19,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-04-12,19.7,"H,,S",30.6,",,S",13,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-04-13,21.2,"H,,S",,,14.3,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-04-14,25.1,"H,,S",,,17.5,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-04-15,26.1,"H,,S",34.5,",,S",,
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-04-16,20.4,"H,,S",32.2,",,S",17,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-04-17,19,"H,,S",,,13.6,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-04-18,21.2,"H,,S",,,14.1,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-04-19,24.4,"H,,S",,,20.2,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-04-20,23.8,"H,,S",29.6,",,S",,
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-04-21,22.4,"H,,S",,,20.8,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-04-22,21,"H,,S",24.7,",,S",,
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-04-23,21.3,"H,,S",,,16.8,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-04-24,23.5,"H,,S",,,17.7,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-04-25,24.4,"H,,S",31.2,",,S",20.6,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-04-26,20,"H,,S",29.5,",,S",,
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-04-27,20.2,"H,,S",,,,
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-04-28,18.9,"H,,S",22.7,",,S",17,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-04-29,18.6,"H,,S",,,,
